Ürün Grup ID,Varyant ID,İsim,Satış Fiyatı,İndirimli Fiyatı,Varyant Tip 1,Varyant Değer 1,Varyant Tip 2,Varyant Değer 2
438dd774-af97-4bf1-aa7d-43eccdea7164,ce206155-1e28-4d6b-95aa-53637e9a5123,Zürafa Amigurumi El Örgüsü Çıngırak Oyuncak,417.89,340.89,,,,
d902a411-a154-41a7-aea9-eb6499c77db5,e4c712e6-847a-4b4b-986f-6ace3ab59c41,Ördek Desenli ve Düz Renk 2'li Bebek Müslin Örtü Seti,638,484,Renk,Sarı,,
28247c13-926d-478a-aa2b-ba63dc57c27a,3761f856-847a-42e7-b950-4dad83f296bb,Ördekli Amigurumi El Örgüsü Çıngırak Oyuncak,417.89,340.89,,,,
af2ad14f-8d97-4c00-8a1a-b8fc6a877f0e,b60079a5-d0b5-4c62-82eb-0df248491f5d,Ördekli Bebek Seti | Kişiye Özel İsimli Emzik Askılı Yenidoğan Hediye Set,1925,1221,,,,
6486efd3-6e77-491c-bd33-9d56ede9cbac,f268f706-1264-42d4-9792-2864cf473533,Özel Seri: Müslin Örtü Çifti & Amigurumi Dinozor,880,823.9,,,,
a1f677b8-334c-4d44-9777-9f85ff7e6afa,7f1332a8-aa1f-4c76-b2d8-29bf71fa0602,Özel Seri: Müslin Örtü Çifti & Amigurumi Geyik,880,823.9,Geyik Renk Seçenekleri,Mavi Geyik Set,,
19ffef83-55ca-48ce-9c20-fc632198bcdb,c80fa781-583a-4562-be9a-5d41bea2e5a4,Özel Seri: Müslin Örtü Çifti & Amigurumi Ördek,880,823.9,Ördek,Erkek Ördek,,
19ffef83-55ca-48ce-9c20-fc632198bcdb,353ef608-147b-4260-97c3-22bb5c966669,Özel Seri: Müslin Örtü Çifti & Amigurumi Ördek,880,823.9,Ördek,Kız Ördek,,
1ca687e9-c428-4d49-9d98-2fdf21663c7e,aa22676b-27f4-4651-8750-297c850fa003,Özel Seri: Müslin Örtü Çifti & Harry Potter Amigurumi,880,823.9,,,,
f6e0387f-e7b9-496d-b7c2-ee1851ea73ca,14b51e45-e163-48e0-8962-20392642506a,Özel Seri: Müslin Örtü Çifti & Zürafa Amigurumi,880,823.9,,,,
e1af2c5a-e3d3-4b11-a629-31891e327ea6,dd1670c6-a373-4f92-ab72-7415d09d6f16,İsimli Bebek Fırça Tarak Seti – Doğal Keçi Kılı & Şimşir Tarak,550,295.9,,,,
1f251b14-2a86-4fbf-8d59-41fe4a54014a,57514fbd-4be7-4b96-8f87-97d306584ddc,İsimli Emzik Askısı I Kişiselleştirilebilir Ürün,319,242,İsimli Emzik Askısı Renkleri,Turuncu- Yeşil,,
1f251b14-2a86-4fbf-8d59-41fe4a54014a,27f97bfc-6f3c-48a6-b978-be6a59239d9a,İsimli Emzik Askısı I Kişiselleştirilebilir Ürün,319,242,İsimli Emzik Askısı Renkleri,Sarı-Mavi,,
1f251b14-2a86-4fbf-8d59-41fe4a54014a,2e8cda2e-99be-47f9-a638-5cb3314fa985,İsimli Emzik Askısı I Kişiselleştirilebilir Ürün,319,242,İsimli Emzik Askısı Renkleri,Kahverengi - Turuncu - Sarı,,
1f251b14-2a86-4fbf-8d59-41fe4a54014a,d9323e01-2865-4072-8d33-f77f5ab945b6,İsimli Emzik Askısı I Kişiselleştirilebilir Ürün,319,242,İsimli Emzik Askısı Renkleri,Lila - Pembe,,
248a51db-cef2-4ef3-8915-74018a96f45b,75bd016a-fb13-4618-93e9-50985276706d,Şapkalı Pamuk Bebek Uyku Kundağı | 0-3 Ay - %100 Pamuk,658.9,459,Şapkalı Kundak,Erkek Bebek Set,,
248a51db-cef2-4ef3-8915-74018a96f45b,e7c141c0-6c59-49bf-9b72-45f563f269aa,Şapkalı Pamuk Bebek Uyku Kundağı | 0-3 Ay - %100 Pamuk,658.9,459,Şapkalı Kundak,Kız Bebek Set,,
74483080-dc23-4cf6-bcee-28bb07a29bdb,3c64cadd-1dac-4c5c-9e2e-b7cdfd852d97,“İlk Güzel An” Kişiselleştirilebilir Anne-Bebek Hatıra Panosu | Ultrason Fotoğrafı Sergileme Çerçevesi,383.9,306.9,,,,
